C:\Coding\finding-lanes\sim_recorded_data\IMG\center_2021_06_03_13_57_34_352.jpg, C:\Coding\finding-lanes\sim_recorded_data\IMG\left_2021_06_03_13_57_34_352.jpg, C:\Coding\finding-lanes\sim_recorded_data\IMG\right_2021_06_03_13_57_34_352.jpg, 0, 0, 0, 7.789877E-05
C:\Coding\finding-lanes\sim_recorded_data\IMG\center_2021_06_03_13_57_34_454.jpg, C:\Coding\finding-lanes\sim_recorded_data\IMG\left_2021_06_03_13_57_34_454.jpg, C:\Coding\finding-lanes\sim_recorded_data\IMG\right_2021_06_03_13_57_34_454.jpg, 0, 0, 0, 7.876536E-05
C:\Coding\finding-lanes\sim_recorded_data\IMG\center_2021_06_03_13_57_34_557.jpg, C:\Coding\finding-lanes\sim_recorded_data\IMG\left_2021_06_03_13_57_34_557.jpg, C:\Coding\finding-lanes\sim_recorded_data\IMG\right_2021_06_03_13_57_34_557.jpg, 0, 0, 0, 7.925965E-05
C:\Coding\finding-lanes\sim_recorded_data\IMG\center_2021_06_03_13_57_34_658.jpg, C:\Coding\finding-lanes\sim_recorded_data\IMG\left_2021_06_03_13_57_34_658.jpg, C:\Coding\finding-lanes\sim_recorded_data\IMG\right_2021_06_03_13_57_34_658.jpg, 0, 0, 0, 7.976089E-05
C:\Coding\finding-lanes\sim_recorded_data\IMG\center_2021_06_03_13_57_34_762.jpg, C:\Coding\finding-lanes\sim_recorded_data\IMG\left_2021_06_03_13_57_34_762.jpg, C:\Coding\finding-lanes\sim_recorded_data\IMG\right_2021_06_03_13_57_34_762.jpg, 0, 0, 0, 7.793963E-05
C:\Coding\finding-lanes\sim_recorded_data\IMG\center_2021_06_03_13_57_34_865.jpg, C:\Coding\finding-lanes\sim_recorded_data\IMG\left_2021_06_03_13_57_34_865.jpg, C:\Coding\finding-lanes\sim_recorded_data\IMG\right_2021_06_03_13_57_34_865.jpg, 0, 0, 0, 7.902613E-05
C:\Coding\finding-lanes\sim_recorded_data\IMG\center_2021_06_03_13_57_34_969.jpg, C:\Coding\finding-lanes\sim_recorded_data\IMG\left_2021_06_03_13_57_34_969.jpg, C:\Coding\finding-lanes\sim_recorded_data\IMG\right_2021_06_03_13_57_34_969.jpg, 0, 0, 0, 7.808986E-05
C:\Coding\finding-lanes\sim_recorded_data\IMG\center_2021_06_03_13_57_35_072.jpg, C:\Coding\finding-lanes\sim_recorded_data\IMG\left_2021_06_03_13_57_35_072.jpg, C:\Coding\finding-lanes\sim_recorded_data\IMG\right_2021_06_03_13_57_35_072.jpg, 0, 0, 0, 8.077759E-05
C:\Coding\finding-lanes\sim_recorded_data\IMG\center_2021_06_03_13_57_35_176.jpg, C:\Coding\finding-lanes\sim_recorded_data\IMG\left_2021_06_03_13_57_35_176.jpg, C:\Coding\finding-lanes\sim_recorded_data\IMG\right_2021_06_03_13_57_35_176.jpg, 0, 0, 0, 7.957415E-05
C:\Coding\finding-lanes\sim_recorded_data\IMG\center_2021_06_03_13_57_35_278.jpg, C:\Coding\finding-lanes\sim_recorded_data\IMG\left_2021_06_03_13_57_35_278.jpg, C:\Coding\finding-lanes\sim_recorded_data\IMG\right_2021_06_03_13_57_35_278.jpg, 0, 0, 0, 7.768434E-05
C:\Coding\finding-lanes\sim_recorded_data\IMG\center_2021_06_03_13_57_35_381.jpg, C:\Coding\finding-lanes\sim_recorded_data\IMG\left_2021_06_03_13_57_35_381.jpg, C:\Coding\finding-lanes\sim_recorded_data\IMG\right_2021_06_03_13_57_35_381.jpg, 0, 0, 0, 7.79062E-05
C:\Coding\finding-lanes\sim_recorded_data\IMG\center_2021_06_03_13_57_35_485.jpg, C:\Coding\finding-lanes\sim_recorded_data\IMG\left_2021_06_03_13_57_35_485.jpg, C:\Coding\finding-lanes\sim_recorded_data\IMG\right_2021_06_03_13_57_35_485.jpg, 0, 0, 0, 7.855273E-05
C:\Coding\finding-lanes\sim_recorded_data\IMG\center_2021_06_03_13_57_35_587.jpg, C:\Coding\finding-lanes\sim_recorded_data\IMG\left_2021_06_03_13_57_35_587.jpg, C:\Coding\finding-lanes\sim_recorded_data\IMG\right_2021_06_03_13_57_35_587.jpg, 0, 0, 0, 8.12327E-05
C:\Coding\finding-lanes\sim_recorded_data\IMG\center_2021_06_03_13_57_35_691.jpg, C:\Coding\finding-lanes\sim_recorded_data\IMG\left_2021_06_03_13_57_35_691.jpg, C:\Coding\finding-lanes\sim_recorded_data\IMG\right_2021_06_03_13_57_35_691.jpg, 0, 0, 0, 7.832278E-05
C:\Coding\finding-lanes\sim_recorded_data\IMG\center_2021_06_03_13_57_35_794.jpg, C:\Coding\finding-lanes\sim_recorded_data\IMG\left_2021_06_03_13_57_35_794.jpg, C:\Coding\finding-lanes\sim_recorded_data\IMG\right_2021_06_03_13_57_35_794.jpg, 0, 0, 0, 7.844035E-05
C:\Coding\finding-lanes\sim_recorded_data\IMG\center_2021_06_03_13_57_35_898.jpg, C:\Coding\finding-lanes\sim_recorded_data\IMG\left_2021_06_03_13_57_35_898.jpg, C:\Coding\finding-lanes\sim_recorded_data\IMG\right_2021_06_03_13_57_35_898.jpg, 0, 0, 0, 7.856707E-05
